TIMESTAMP,ACTIVITY,SEGMENT
2017.11.09 12:03:30,Act24,A
2017.11.09 12:05:00,Act16,A
2017.11.09 12:06:00,Act02,A
2017.11.09 12:08:30,Act05,A
2017.11.09 12:13:30,Act17,A
2017.11.09 12:15:00,Act21,A
2017.11.09 12:18:30,Act14,A
2017.11.09 12:19:30,Act21,A
2017.11.09 12:23:00,Act22,A
2017.11.09 12:25:00,Act13,A
2017.11.09 13:13:30,Act10,B
2017.11.09 13:15:00,Act03,B
2017.11.09 13:24:30,Act06,B
2017.11.09 13:31:30,Act01,B
2017.11.09 13:34:00,Act19,B
2017.11.09 13:35:30,Act15,B
2017.11.09 13:37:00,Act17,B
2017.11.09 13:38:30,Act12,B
2017.11.09 13:51:30,Act13,B
2017.11.09 16:54:00,Act10,C
2017.11.09 16:55:00,Act04,C
2017.11.09 16:58:30,Act07,C
2017.11.09 17:05:30,Act15,C
2017.11.09 17:06:30,Act17,C
2017.11.09 17:08:30,Act12,C
2017.11.09 17:19:30,Act22,C
2017.11.09 17:21:30,Act23,C
2017.11.09 17:23:00,Act18,C
2017.11.09 17:24:30,Act23,C
2017.11.13 11:52:00,Act24,A
2017.11.13 11:55:30,Act16,A
2017.11.13 11:57:00,Act02,A
2017.11.13 11:59:30,Act05,A
2017.11.13 12:07:30,Act17,A
2017.11.13 12:09:30,Act21,A
2017.11.13 12:21:00,Act22,A
2017.11.13 12:23:00,Act13,A
2017.11.13 12:40:00,Act10,B
2017.11.13 12:41:00,Act03,B
2017.11.13 12:52:30,Act06,B
2017.11.13 12:58:00,Act01,B
2017.11.13 12:59:30,Act19,B
2017.11.13 13:00:30,Act15,B
2017.11.13 13:02:00,Act17,B
2017.11.13 13:04:00,Act12,B
2017.11.13 13:17:00,Act13,B
2017.11.13 17:04:00,Act10,C
2017.11.13 17:05:00,Act04,C
2017.11.13 17:10:00,Act07,C
2017.11.13 17:16:30,Act15,C
2017.11.13 17:18:30,Act17,C
2017.11.13 17:19:30,Act09,C
2017.11.13 17:28:00,Act22,C
2017.11.13 17:29:30,Act23,C
2017.11.21 09:42:00,Act24,A
2017.11.21 09:46:00,Act16,A
2017.11.21 09:47:00,Act02,A
2017.11.21 09:48:30,Act05,A
2017.11.21 09:53:00,Act17,A
2017.11.21 09:54:30,Act22,A
2017.11.21 09:57:00,Act11,A
2017.11.21 10:04:30,Act12,A
2017.11.21 16:11:00,Act22,B
2017.11.21 16:12:00,Act17,B
2017.11.21 16:13:00,Act22,B
2017.11.21 16:16:00,Act13,B
2017.11.21 16:18:30,Act10,C
2017.11.21 16:21:30,Act04,C
2017.11.21 16:25:00,Act07,C
2017.11.21 16:31:30,Act01,C
2017.11.21 16:33:30,Act19,C
2017.11.21 16:35:30,Act17,C
2017.11.21 16:37:00,Act12,C
2017.11.21 16:42:00,Act18,C
2017.11.21 16:43:30,Act12,C
2017.11.21 16:48:00,Act22,C
2017.11.21 16:49:30,Act23,C
